1,1,1,1,1,1,1,1,1,1,1,1,1,1.91075,3.64298,4.7941,3.74983,1.93746,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1,1.79504,1.85106,1,1,1,1,2.44446,5.77784,7.7836,6.20522,3.8294,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,1,1.79504,3.18016,3.40426,2.91342,1,1,1,4.31134,7.68478,10.3573,9.28747,5.1124,2.2781,1,1,1,1,1.58352,1,1,1,1,1,1,1,
1,1,1,1,1,1,3.31493,5.31638,6.4369,4.2494,2.06235,1,2.39015,5.5606,10.604,12.6732,11.475,7.16214,2.79053,1,1,1,2.54083,2.33409,2.505,1,1,1,1,1,1,
1,1,1,1,1,1.98584,3.94337,7.64849,8.77758,6.56073,3.89778,1,2.90959,7.63839,12.4976,14.2566,12.7773,8.06114,3.01529,1,1,1.9573,3.82921,5.33638,3.68592,1.92148,1,1,1,1,1,
1,1,1,1,1,2.03125,4.125,8.55667,10.4642,9.21597,5.03042,2.25761,3.12384,8.49541,13.4914,15.0785,13.3164,8.30517,3.07629,1,1,3.70254,5.98047,7.49628,5.40729,2.35182,1,1,1,1,1,
1,1,1,1,1,1,4.02849,7.98901,11.3069,10.8086,6.90576,2.72644,3.21297,8.85192,13.8943,15.2497,13.1046,7.84322,2.96081,1,2.20742,4.82968,8.59639,9.261,6.44698,2.61175,1,1,1,1,1,
1,1,1,1,1,1,3.02314,8.09265,11.9658,11.8059,7.78412,2.94603,3.25451,9.01811,13.9846,14.9215,12.0093,5.96313,2.49078,1,2.68059,6.72235,10.3144,10.5044,7.11964,2.77991,1,1,1,1,1,
1,1,1,1,1,1,3.10399,8.41607,12.658,12.6654,8.42496,3.10624,3.30902,9.23622,14.1049,14.4426,10.0482,5.00282,1,1,2.93632,7.74531,11.4347,11.3224,7.52723,2.88181,1,1,1,1,1,
1.80886,2.11195,1.94761,1,1,1,3.22847,8.91408,13.5852,13.7732,9.25059,3.31265,3.45554,9.82247,14.7566,14.6966,9.74094,3.43524,1,1,4.66019,8.82424,12.3567,11.8232,7.66693,2.91673,1,1,1,1,1,
3.23543,4.44781,3.79046,2.97876,1,1,3.41386,9.65579,14.9963,15.5927,10.8047,3.70116,3.82436,11.298,16.4038,15.847,10.2194,3.55486,1,2.45414,5.8166,11.1951,13.3446,11.947,7.31726,2.82932,1,1,1,1,1,
4.49392,6.76537,6.71403,4.12457,2.03114,1,3.67834,10.7139,17.1533,18.7984,14.3763,9.73085,9.95428,14.9677,19.7157,18.0698,11.2904,3.82261,1,3.01784,8.07145,12.795,13.8799,11.3031,5.6551,2.41377,1,1,1,1,1,
3.97491,7.4057,8.17575,5.78424,2.44606,1,4.01187,12.0483,20.1073,24.0743,23.9045,20.5493,20.8529,24.861,25.425,21.4284,12.8736,4.21839,1,5.00856,9.67448,14.0339,14.0772,9.73059,4.84642,1,1,1,1,1,1,
3.67043,6.70681,8.79903,6.83668,3.92139,1,4.3434,13.3748,23.1577,29.4926,32.6242,33.4464,34.0081,34.205,31.7005,25.3491,14.7769,4.69422,2.58997,6.36006,12.5931,15.5894,14.6647,9.54222,3.38555,1,1,1,1,1,1,
2.65563,6.62254,9.47694,8.76348,4.84891,2.21223,4.57382,14.2968,25.6623,34.1221,39.663,42.6143,43.5386,42.2605,37.8308,29.4961,16.887,5.22174,3.21187,8.84781,14.7492,17.067,15.4507,9.77385,3.44346,1,1,1,1,1,1,
2.57661,6.30649,9.7228,9.89151,6.63221,2.65805,4.53822,14.1546,27.0807,37.6817,45.3048,49.8239,51.2864,49.4813,43.8772,33.925,19.2778,5.81945,3.57063,10.2831,16.4907,18.48,16.2983,10.1029,3.52573,1,1,1,1,1,1,
2.22017,4.8807,9.21642,10.4477,7.78857,4.36697,3.81115,11.2461,26.8342,40.2334,50.068,56.1094,58.3213,56.5195,50.287,39.0592,22.3033,6.57582,3.9487,11.7958,18.4529,20.0664,17.161,10.3401,3.58503,1,1,1,1,1,1,
1,4.17383,7.81475,10.8949,10.0746,5.67953,2.41988,10.0074,24.7881,42.3674,54.6467,62.2493,65.3955,64.0124,57.7123,45.7355,26.8819,7.72048,4.61225,14.4509,21.4628,22.1755,17.9416,10.0973,3.52432,1,1,1,1,1.56406,1,
1,2.78699,7.14817,11.2431,11.9364,8.64407,5.1281,7.48983,25.965,45.8236,59.9299,68.8769,73.0313,72.4533,66.8412,55.3084,35.4977,19.8279,14.8001,20.5516,26.7791,25.2368,18.3356,8.10822,3.02705,1,1,1,2.58228,2.25624,2.34329,
1,2.38381,5.53549,10.9945,13.7855,12.9617,7.86934,10.2821,29.2663,51.0596,66.4066,76.3359,81.44,81.9677,77.9265,69.1873,55.8163,39.825,34.6618,36.99,35.8766,29.6651,18.0597,7.54199,1,1,1,3.25319,4.07292,5.02499,3.11692,
1,1,4.7376,9.41577,15.2525,17.5518,14.5183,22.1,36.0637,58.7761,74.3429,84.6674,90.4749,92.1001,89.7563,83.739,74.7886,64.8506,57.8576,52.8917,46.0894,35.4985,20.2424,6.06061,1,1,3.45608,4.9399,7.26676,6.65393,3.44271,
1,1,2.8545,7.41888,16.2624,23.4819,28.659,33.8371,52.2443,69.6808,83.5722,93.5723,99.7513,102.262,101.318,97.2775,90.7967,82.9736,75.063,66.6606,56.1143,42.0119,23.4171,6.85427,1,2.22112,4.88455,8.49302,9.40045,6.88135,3.58102,
1,1,1,6.57998,14.904,27.4676,38.8184,50.4751,65.4368,80.1821,92.7526,102.364,108.766,111.948,112.044,109.323,104.208,97.2388,88.8079,78.6127,65.7253,49.0368,27.4212,7.85531,1,2.76132,7.04546,10.7475,10.961,7.47116,2.86779,
1,1,1,3.97312,11.8951,28.6839,44.6991,59.8465,74.8954,88.9179,100.961,110.44,117.08,120.803,121.668,119.838,115.547,109.031,100.375,89.305,75.174,57.0128,33.2403,14.1744,1,3.1375,8.55032,12.4914,12.2252,8.04253,3.01063,
1,1,1,1,10.6454,26.6938,47.4803,65.3614,81.437,95.7011,107.809,117.44,124.398,128.605,130.078,128.901,125.193,119.04,110.422,99.115,84.6971,66.6299,44.5403,19.4625,5.86562,5.96056,10.6656,14.4438,13.4068,8.47407,3.11852,
1,1,1,1,7.65638,26.6334,49.203,68.7314,85.8529,100.715,113.217,123.206,130.565,135.24,137.235,136.594,133.373,127.601,119.232,108.101,93.9212,76.3067,54.8506,29.3181,10.6239,9.17851,15.6708,17.2134,14.4854,8.44745,3.11186,
1,1,1,1,7.66301,26.6602,50.0057,70.5618,88.5955,104.167,117.227,127.698,135.519,140.662,143.137,142.972,140.205,134.853,126.886,116.208,102.639,85.8695,65.2659,38.9706,24.4141,17.0478,21.6302,20.2569,14.8758,6.8308,2.7077,
1,1,1,1,7.50444,26.0259,49.638,70.9701,89.8705,106.214,119.921,130.944,139.259,144.867,147.79,148.064,145.729,140.818,133.341,123.287,110.623,95.3181,77.4084,57.3149,37.6506,33.3927,29.5529,23.3132,13.9321,6.19072,1,
1,1,1,1,6.95538,23.829,47.5908,69.8668,89.7743,106.983,121.398,133.004,141.819,147.873,151.209,151.881,149.943,145.453,138.47,129.06,117.32,103.43,87.7788,71.2607,55.9167,45.3354,35.8863,25.5167,13.5414,4.38535,1,
1,1,1,1,5.42879,17.7207,43.0682,67.1881,88.4492,106.633,121.781,133.965,143.255,149.716,153.416,154.426,152.823,148.69,142.126,133.253,122.243,109.367,95.0668,80.0705,65.448,52.1657,39.1528,25.3326,10.7185,3.67963,1,
1,1,1,1,1,14.3794,35.8091,63.423,86.2726,105.407,121.228,133.93,143.636,150.442,154.436,155.707,154.349,150.47,144.193,135.673,125.114,112.795,99.1054,84.5487,69.6705,54.7483,39.24,21.9485,9.16674,1,1,
1,1,1,1,1,9.19186,32.7785,60.475,83.8813,103.58,119.891,133,143.035,150.102,154.302,155.737,154.516,150.759,144.606,136.225,125.824,113.664,100.066,85.3923,69.9693,53.9391,37.1232,19.225,5.80626,1,1,
1,1,1,1,1,8.71274,30.8612,57.8678,81.266,101.223,117.852,131.25,141.515,148.748,153.054,154.543,153.334,149.554,143.349,134.889,124.373,112.038,98.1589,83.0277,66.9069,49.9361,32.0999,13.8312,4.45781,1,1,
1,1,1,1,1,8.20464,28.8279,54.9166,78.1566,98.2743,115.137,128.738,139.139,146.437,150.74,152.165,150.835,146.88,140.447,131.697,120.818,108.022,93.5554,77.6929,60.7228,42.8163,23.5169,10.337,1,1,1,
1,1,1,1,1,7.38811,25.5605,50.8584,74.2304,94.6566,111.773,125.523,135.973,143.231,147.417,148.654,147.068,142.788,135.953,126.718,115.251,101.739,86.3955,69.5011,51.4992,33.1026,15.1549,4.78872,1,1,1,
1,1,1,1,1,5.64308,18.578,44.7658,69.3063,90.4198,107.859,121.704,132.101,139.202,143.149,144.073,142.096,137.345,129.949,120.049,107.795,93.3403,76.8283,58.4464,38.6883,18.9477,9.52565,1,1,1,1,
1,1,1,1,1,1,14.7303,36.3546,63.8602,85.9233,103.617,117.418,127.619,134.427,138.006,138.489,135.995,130.635,122.528,111.803,98.6007,83.0456,65.1652,44.7899,21.8695,11.2043,1,1,1,1,1,
1,1,1,1,1,1,9.20314,32.8221,59.9027,81.8569,99.3381,112.816,122.617,128.972,132.049,131.974,128.845,122.754,113.796,102.095,87.8097,71.1148,52.0229,29.6914,13.8902,1,1,1,1,1,1,
1,1,1,1,1,1,8.76234,31.0579,57.1134,78.3184,95.1286,107.964,117.139,122.878,125.329,124.593,120.736,113.809,103.872,91.0241,75.4697,57.6107,38.1378,17.9573,5.48933,1,1,1,1,1,1,
1,1,1,1,1,1,8.57803,30.3198,55.2124,75.2239,90.9536,102.838,111.172,116.145,117.871,116.406,111.764,103.937,92.91,78.7032,61.4664,41.7412,20.9698,10.7318,1,1,1,1,1,1,1,
1,1,1,1,1,1,12.515,31.0308,54.2262,72.4559,86.6767,97.3217,104.628,108.725,109.67,107.458,102.037,93.3168,81.1717,65.4457,45.9738,22.9287,11.9746,1,1,1,1,1,1,1,1,
1,1,1,1,1,4.75911,15.0392,35.598,54.2365,69.736,82.0223,91.1968,97.3481,100.515,100.681,97.7721,91.6594,82.1637,69.0484,51.9585,30.0668,14.2489,1,1,1,1,1,1,1,1,1,
1,1,1,1,1,8.85524,20.5698,38.1047,53.4132,66.2637,76.5201,84.1397,89.1,91.3557,90.8163,87.3349,80.7046,70.6642,56.9252,39.289,18.339,5.58474,1,1,1,1,1,1,1,1,1,
1,1,1,1,3.71368,10.8561,25.1461,38.8552,51.0717,61.4151,69.6889,75.7795,79.5962,81.0311,79.9321,76.0828,69.1918,58.8893,44.7174,25.9425,12.0704,1,1,1,1,1,1,1,1,1,1,
1,1,1,1,6.2861,14.2838,26.3136,37.1134,46.6232,54.6602,61.0687,65.7237,68.506,69.2728,67.829,63.9009,57.1146,47.0023,33.1241,15.7666,4.94166,1,1,1,1,1,1,1,1,1,1,
1,1,1,2.71556,6.86281,15.9709,24.7197,32.6738,39.6633,45.553,50.2235,53.564,55.4558,55.7493,54.2335,50.5979,44.3808,34.8937,21.0164,10.1958,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,2.8705,7.48252,14.0214,19.9271,25.2079,29.8148,33.6786,36.7238,38.8696,40.0213,40.0521,38.7739,35.8906,30.9281,23.1825,12.0497,4.01243,1,1,1,1,1,1,1,1,1,1,1,
1,1,1,2.26178,5.04743,8.70786,11.7637,14.4215,16.7162,18.6312,20.1328,21.1792,21.7177,21.6739,20.9288,19.2704,16.2647,10.8618,6.72789,1,1,1,1,1,1,1,1,1,1,1,1